SalePrice,LotArea,LivArea,BsmtArea,GarageCars,Bedroom,Kitchen,OverallQual,ExterQual,KitchenQual,Neighborhood,ZoneClass,BldgType,LandContour,Fireplace,CentralAir,MoSold,YrSold,Latitude,Longitude,TotalBath
105500,156,101,49,1.0,3,1,5,TA,TA,BrDale,RM,Twnhs,Lvl,0,1,3,2010,42.0516762993757,-93.6276044225935,2
168165,1227,135,56,2.0,3,1,7,TA,Gd,Gilbert,RL,1Fam,Lvl,0,1,5,2007,42.0619889732416,-93.6455029611453,2
201000,829,136,136,3.0,3,1,8,Gd,Gd,Timber,RL,1Fam,HLS,0,1,7,2009,41.9949312094578,-93.650374,2
177500,197,146,70,2.0,3,1,6,Gd,Gd,Somerst,FV,Twnhs,Lvl,0,1,6,2010,42.0461507350234,-93.6457721435571,3
200000,965,194,103,2.0,3,1,7,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,11,2009,42.0490342038435,-93.6326457865091,3
450000,1434,190,185,3.0,2,1,10,Ex,Ex,NridgHt,RL,1Fam,Lvl,1,1,8,2007,42.0612911794275,-93.6575364863738,3
91300,537,82,18,1.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,0,1,12,2009,42.0310936613725,-93.6104545392647,1
173500,715,117,116,2.0,3,1,7,Gd,Gd,Gilbert,RL,1Fam,Lvl,0,1,8,2007,42.0632264853387,-93.6443336233025,2
199500,1718,123,123,2.0,3,1,6,Gd,Gd,Gilbert,RL,1Fam,Lvl,0,1,1,2010,42.0618882023554,-93.6444783899894,2
207000,1213,172,77,2.0,4,1,6,TA,Gd,BrkSide,RL,1Fam,Bnk,1,1,6,2008,42.0295437281535,-93.627376761364,2
155000,737,118,118,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,1,1,6,2008,42.0372737797437,-93.6067588091958,2
220000,1105,125,124,3.0,3,1,7,Gd,Gd,Timber,RL,1Fam,Lvl,1,1,5,2010,41.9952338163265,-93.6492349795918,2
196000,861,162,78,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,6,2006,42.0173355405351,-93.6927012019721,3
61500,727,46,46,1.0,1,1,3,TA,TA,OldTown,RM,1Fam,Lvl,0,1,6,2006,42.0319501632653,-93.6101802040816,1
195000,1119,189,79,2.0,4,1,6,TA,Gd,NWAmes,RL,1Fam,Lvl,1,1,6,2007,42.0545058196721,-93.6315601147541,3
129250,664,92,92,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,11,2007,42.048851159119,-93.6253976305988,1
291000,1022,202,141,3.0,4,1,9,Gd,Ex,NoRidge,RL,1Fam,Lvl,1,1,6,2008,42.0557847921225,-93.6511015021839,3
134000,853,100,101,2.0,3,1,6,TA,TA,Mitchel,RL,1Fam,Bnk,0,1,6,2007,41.9941990238095,-93.6074294880952,2
186000,1055,122,122,2.0,3,1,7,TA,TA,NAmes,RL,1Fam,Lvl,1,1,4,2008,42.0412960408163,-93.6052156734694,2
133500,802,86,86,2.0,2,1,5,TA,TA,Sawyer,RL,1Fam,Lvl,0,1,10,2006,42.0358615714286,-93.672579,1
148000,1003,143,68,0.0,3,1,5,TA,Gd,OldTown,RL,1Fam,Lvl,0,1,7,2007,42.0359467959184,-93.6138648979592,2
325300,1321,221,108,3.0,4,1,8,Gd,Gd,NridgHt,RL,1Fam,Lvl,1,1,11,2006,42.0604287346939,-93.657683755102,4
215000,1096,182,79,2.0,4,1,7,Gd,Gd,Gilbert,RL,1Fam,Lvl,1,1,7,2007,42.0597126835794,-93.6437715149239,3
131000,1060,159,71,1.0,3,1,5,TA,TA,Edwards,RL,1Fam,Lvl,1,1,1,2009,42.0248610322461,-93.6606936357549,2
109500,417,87,87,0.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,1,1,5,2010,42.0314624693878,-93.6202082244898,1
110000,970,114,41,2.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,0,1,5,2009,42.0333924897959,-93.6156178163265,2
150000,1012,241,120,0.0,6,2,5,TA,TA,SWISU,RL,Duplex,Lvl,0,0,1,2007,,,2
193800,352,145,140,2.0,2,1,8,Gd,Gd,Somerst,FV,TwnhsE,Lvl,0,1,2,2007,42.0474404528666,-93.6476162868797,2
178000,1123,174,54,2.0,3,1,6,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,1,2007,42.0554701908604,-93.6378398942683,4
179600,790,132,132,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,11,2007,42.0135512727273,-93.684778969697,2
179000,1003,111,111,0.0,3,1,5,TA,TA,Edwards,RL,Duplex,Lvl,0,1,3,2009,42.0281188852404,-93.6587373332222,3
140000,1000,152,93,2.0,4,1,5,TA,TA,Sawyer,RL,1Fam,Lvl,1,1,7,2008,42.0346122173913,-93.660487,2
395000,1322,183,180,3.0,3,1,8,Gd,Gd,NridgHt,RL,1Fam,Lvl,1,1,7,2007,42.0622610910339,-93.6561853650665,2
151500,1003,116,116,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,5,2006,42.0401345091582,-93.622084123873,1
341000,979,225,122,3.0,3,1,7,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,8,2008,42.049582,-93.655958,3
235000,1110,163,91,2.0,3,1,7,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,7,2009,42.0472965714286,-93.6502964285714,3
72000,793,62,40,0.0,2,1,4,TA,TA,IDOTRR,RM,1Fam,Low,0,0,6,2006,42.020318,-93.628408,1
154000,977,151,92,1.0,3,1,6,TA,Gd,Edwards,RL,1Fam,Lvl,0,1,5,2007,42.0245466193626,-93.6673808434177,2
222000,356,160,160,2.0,2,1,6,Gd,Gd,Somerst,FV,TwnhsE,Lvl,1,1,1,2009,42.0474273639233,-93.6475996487335,3
390000,1247,255,172,3.0,4,1,9,Gd,Ex,NridgHt,RL,1Fam,Lvl,1,1,10,2008,42.0604278163265,-93.6575430612245,3
128200,989,83,83,1.0,3,1,5,TA,TA,CollgCr,RL,1Fam,Lvl,0,1,2,2010,42.0213901156671,-93.6879203901775,1
615000,1182,229,236,3.0,1,1,10,Ex,Ex,NridgHt,RL,1Fam,HLS,1,1,2,2008,42.0584750470488,-93.6568099563468,2
158000,1138,109,80,2.0,3,1,5,TA,TA,CollgCr,RL,1Fam,Lvl,0,1,5,2008,42.0196795409649,-93.6865764837827,1
254000,580,123,123,2.0,2,1,8,Gd,Gd,NridgHt,RL,TwnhsE,Lvl,1,1,12,2009,,,2
169000,895,227,75,1.0,4,1,6,TA,Gd,SWISU,RL,1Fam,Lvl,1,1,3,2010,42.0190843469388,-93.6468926938776,2
284500,897,204,109,2.0,3,1,8,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,9,2008,42.0539214267192,-93.6547846655477,3
184500,1236,128,36,2.0,3,1,7,Gd,Gd,Gilbert,RL,1Fam,Lvl,1,1,6,2010,42.060117111903,-93.6440767641891,3
210400,836,124,124,2.0,3,1,7,Gd,Gd,Somerst,FV,1Fam,Lvl,0,1,6,2007,42.0511898178109,-93.647224409552,2
214000,954,148,148,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,8,2006,42.01751131983,-93.6906512262285,2
392500,519,153,149,2.0,2,1,8,Ex,Gd,Crawfor,RM,TwnhsE,HLS,1,1,11,2008,42.0094106707818,-93.6155758230605,2
274725,2161,188,81,2.0,3,1,7,Gd,Gd,Gilbert,RL,1Fam,HLS,1,1,9,2006,42.0629916979058,-93.6360587916232,3
156932,790,131,57,2.0,3,1,6,TA,Gd,Gilbert,RL,1Fam,Lvl,1,1,3,2007,42.0622131258519,-93.6442656775181,3
282922,1417,136,138,3.0,3,1,8,Gd,Gd,Somerst,RL,1Fam,Lvl,0,1,8,2007,,,2
144000,822,157,76,1.0,3,1,7,TA,TA,OldTown,RM,1Fam,Bnk,1,1,7,2006,42.0280673061225,-93.6153057346939,1
88000,156,101,49,1.0,3,1,6,TA,TA,BrDale,RM,Twnhs,Lvl,0,1,3,2010,42.0516839490635,-93.6274341338902,2
67500,910,94,76,1.0,2,1,5,TA,TA,SawyerW,RH,1Fam,Lvl,0,0,4,2010,,,1
148000,1029,112,105,2.0,3,1,6,TA,TA,Mitchel,RL,1Fam,Lvl,0,1,5,2006,41.9957645,-93.601227,2
159000,743,117,117,1.0,3,1,5,TA,Gd,NAmes,RL,1Fam,Lvl,0,1,5,2008,42.0371334242424,-93.6060070808081,2
120000,1003,105,104,2.0,2,1,5,TA,TA,OldTown,RL,1Fam,Lvl,1,1,6,2006,42.0359035306122,-93.6138652653061,1
134900,674,80,80,2.0,2,1,5,TA,TA,Sawyer,RL,1Fam,Lvl,0,1,4,2009,42.0308797692511,-93.6715422307489,1
185000,1317,110,92,2.0,1,1,6,TA,TA,Sawyer,RL,1Fam,Lvl,1,1,6,2008,42.0325588979592,-93.6653221632653,1
132500,557,131,72,1.0,4,1,6,TA,TA,BrkSide,RM,1Fam,Lvl,1,1,5,2009,42.0334554693878,-93.6234841428571,1
160500,667,97,89,2.0,3,1,6,TA,TA,Sawyer,RL,1Fam,Lvl,1,1,7,2006,42.0313410808981,-93.6728131863958,1
165000,822,128,71,2.0,3,1,6,TA,Gd,BrkSide,RL,1Fam,Bnk,0,1,2,2007,42.0270134350956,-93.6254704632301,1
100000,642,121,106,2.0,2,1,5,TA,Fa,BrkSide,RM,1Fam,Lvl,0,1,10,2009,42.031500424554,-93.6247272769964,1
189900,1285,151,86,2.0,3,1,5,TA,TA,Gilbert,RL,1Fam,Lvl,1,1,3,2010,42.0608662460827,-93.6389765770365,3
227875,948,164,81,2.0,3,1,7,Gd,Gd,Somerst,FV,1Fam,Lvl,0,1,8,2007,42.0521329868537,-93.6436563155122,3
111900,956,87,87,1.0,2,1,4,TA,TA,NAmes,RL,1Fam,Lvl,0,1,9,2008,42.0553691639208,-93.6266190612291,1
145000,833,122,60,1.0,2,1,6,TA,TA,Crawfor,RL,1Fam,Bnk,1,1,7,2008,42.0178028163265,-93.646475122449,1
118000,1125,134,134,0.0,4,2,4,TA,Fa,Edwards,RL,Duplex,Lvl,0,0,9,2008,42.0203107,-93.665322,2
166000,279,142,70,2.0,2,1,6,Gd,Gd,Somerst,FV,TwnhsE,Lvl,0,1,6,2006,42.046150682028,-93.6457829722685,3
148000,929,127,98,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,1,1,2,2006,42.0422235541114,-93.6158455193062,1
99000,650,86,0,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,7,2007,42.0346828979592,-93.6067076938776,1
86000,142,59,59,1.0,1,1,4,TA,Gd,MeadowV,RM,Twnhs,Lvl,0,1,5,2009,41.9923326187482,-93.6031232472266,1
165000,850,133,102,1.0,3,1,6,TA,TA,NAmes,RL,1Fam,Lvl,1,1,12,2008,42.0469923159526,-93.615727346362,1
211500,351,114,114,2.0,1,1,8,Gd,Gd,Greens,RL,TwnhsE,Lvl,1,1,9,2009,42.0429935244123,-93.6493042596644,1
210000,813,132,132,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,1,1,8,2009,42.018014,-93.6813538557042,2
228500,928,157,156,2.0,3,1,4,TA,TA,Mitchel,RL,1Fam,Lvl,1,1,7,2008,41.996073,-93.602595,2
132000,1236,86,86,1.0,2,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,6,2007,42.0386085714286,-93.6122176938776,1
468000,1034,231,228,3.0,2,1,9,Ex,Ex,Somerst,RL,1Fam,Lvl,1,1,10,2009,42.0531011563697,-93.6413971670256,2
240000,4934,181,147,2.0,3,1,6,Gd,Gd,ClearCr,RL,1Fam,Low,1,1,6,2007,42.027877,-93.67912,3
151500,1187,89,89,1.0,2,1,6,TA,TA,NAmes,RL,1Fam,Lvl,0,1,4,2007,42.0421625555556,-93.6236705555556,1
73000,137,59,59,0.0,1,1,4,TA,TA,MeadowV,RM,Twnhs,Lvl,0,1,4,2006,41.9925355256928,-93.6026213487259,1
75500,139,59,59,0.0,1,1,4,TA,TA,MeadowV,RM,TwnhsE,Lvl,0,1,5,2010,41.992212332621,-93.603399165108,1
500067,1595,213,216,3.0,2,1,10,Ex,Ex,NridgHt,RL,1Fam,Lvl,1,1,8,2007,42.0604272040816,-93.6574492653061,3
330000,907,140,140,1.0,1,1,7,Gd,Gd,GrnHill,RM,TwnhsE,Lvl,1,1,9,2007,,,2
107500,988,114,64,1.0,3,1,5,TA,Po,ClearCr,RL,1Fam,Lvl,0,0,1,2010,42.0282895591443,-93.6587862738456,2
172500,246,162,90,2.0,3,1,8,Gd,Gd,Somerst,FV,Twnhs,Lvl,0,1,8,2009,42.0471589135738,-93.6418122465566,3
185000,966,190,69,2.0,3,1,7,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,3,2008,42.0525554028463,-93.6355961810786,3
311872,875,160,160,3.0,3,1,7,Ex,Ex,Somerst,RL,1Fam,Lvl,1,1,9,2007,42.0541490951815,-93.64371993188,2
165150,966,166,68,2.0,4,1,6,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,11,2006,42.0481794747475,-93.630294,3
125000,1263,98,98,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Bnk,0,1,11,2006,42.038378,-93.6128017647059,2
159500,1003,237,67,2.0,3,1,7,TA,TA,OldTown,RM,1Fam,Bnk,0,1,7,2007,42.0261920394384,-93.6086438920675,2
180500,624,122,118,2.0,2,1,8,Gd,Gd,Timber,RL,1Fam,Lvl,0,1,1,2007,41.9970364066363,-93.646836446232,2
160000,892,122,68,1.0,2,1,5,Gd,TA,Crawfor,RL,1Fam,HLS,1,1,6,2009,42.0186774999144,-93.6423402053147,2
109008,798,84,84,1.0,3,1,4,TA,TA,NAmes,RL,1Fam,Lvl,0,1,7,2008,42.044865,-93.621618,1
153000,716,96,42,2.0,3,1,6,TA,TA,Sawyer,RL,1Fam,Lvl,1,1,5,2008,42.0313415662869,-93.6728923047707,1
132250,2349,97,99,2.0,3,1,4,TA,TA,Mitchel,RL,1Fam,HLS,0,1,1,2007,41.9929799878201,-93.6055428854154,1
184900,709,147,73,2.0,3,1,7,Gd,Gd,SawyerW,RL,1Fam,Lvl,0,1,3,2006,42.037137314031,-93.6912134061879,3
127000,639,126,64,0.0,3,1,6,TA,Gd,IDOTRR,RM,1Fam,Lvl,0,1,3,2007,42.0251054897959,-93.6272057346939,2
475000,1094,211,211,3.0,3,1,9,Gd,Ex,CollgCr,RL,1Fam,Lvl,1,1,6,2008,42.027213612708,-93.6867830788638,2
142000,1074,107,80,1.0,3,1,5,TA,Ex,NAmes,RL,1Fam,Lvl,0,1,7,2007,42.0412333150362,-93.617277995313,2
112000,481,75,75,1.0,2,1,5,TA,TA,BrkSide,RL,1Fam,Lvl,0,1,7,2007,42.036025864468,-93.6284700887734,1
80900,478,97,33,1.0,2,1,4,TA,TA,IDOTRR,C (all),1Fam,Lvl,0,0,5,2008,42.0214766574172,-93.6168112727172,1
135000,971,103,103,1.0,3,1,6,TA,TA,NAmes,RL,1Fam,Lvl,0,1,4,2009,42.0384825048291,-93.608905133998,1
193500,755,156,131,2.0,3,1,6,TA,Gd,SawyerW,RL,1Fam,Lvl,1,1,10,2008,42.0358698897625,-93.6891589119391,2
232500,1041,134,133,2.0,3,1,8,Gd,Gd,Timber,RL,1Fam,Lvl,1,1,6,2008,41.995516030303,-93.6469074949495,2
114000,1041,121,116,2.0,3,1,5,TA,TA,Edwards,RL,1Fam,Lvl,0,1,6,2010,42.0250827346939,-93.6633366122449,2
257000,1854,212,54,2.0,4,1,6,TA,Gd,Timber,RL,1Fam,Lvl,1,1,7,2007,42.0007292526605,-93.6496662567616,3
117000,1022,149,91,2.0,3,1,5,TA,TA,Edwards,RL,1Fam,Lvl,0,1,7,2009,42.0220834048937,-93.6558623429745,2
213000,813,179,91,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,1,1,6,2007,42.016945472759,-93.6879514514221,3
212000,991,154,74,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,1,1,4,2009,42.020881,-93.690581,3
202500,1090,170,79,1.0,2,1,6,TA,TA,BrkSide,RL,1Fam,Bnk,1,0,5,2006,42.0314132621284,-93.6276285195086,1
185101,843,139,69,2.0,3,1,7,Gd,Gd,Gilbert,RL,1Fam,Lvl,0,1,10,2006,42.0616553479586,-93.6440095224213,3
167000,987,119,119,2.0,2,1,7,TA,TA,NAmes,RL,1Fam,Lvl,1,1,4,2007,42.0514546996458,-93.6184642748162,1
138500,780,98,98,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,11,2006,42.0457405062381,-93.6265477599926,2
102000,825,113,78,2.0,2,1,4,TA,TA,Edwards,RL,1Fam,Lvl,0,1,4,2006,42.0203434141414,-93.6763918585859,1
198900,966,114,114,3.0,3,1,7,TA,Gd,CollgCr,RL,1Fam,Lvl,0,1,5,2010,42.024613377555,-93.692055326259,2
145000,780,159,151,2.0,4,2,5,TA,TA,NAmes,RL,Duplex,Lvl,0,1,6,2006,42.0422405953475,-93.6222802925355,2
220000,933,178,84,2.0,3,1,8,Gd,Gd,SawyerW,RL,1Fam,Lvl,1,1,2,2006,42.0297174048556,-93.6822022045585,3
126000,780,82,82,2.0,2,1,4,TA,TA,NAmes,RL,1Fam,Lvl,0,1,4,2010,42.0535142795056,-93.6271479984519,1
200000,1250,173,85,2.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,0,1,6,2006,42.016892,-93.689424,3
278000,526,154,139,2.0,2,1,8,Gd,Ex,StoneBr,RL,TwnhsE,Lvl,1,1,10,2009,42.0622143015674,-93.6341989454403,2
145000,698,129,88,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,1,1,9,2006,42.0489550052041,-93.6291330783244,1
318000,965,184,184,3.0,3,1,8,Gd,Gd,CollgCr,RL,1Fam,Lvl,1,1,5,2010,42.0185582099301,-93.6878915906045,3
146500,634,121,60,1.0,2,1,6,TA,TA,Crawfor,RL,1Fam,HLS,1,1,8,2007,42.0178810816327,-93.6469343265306,2
86900,651,67,42,1.0,1,1,4,TA,Fa,OldTown,RL,1Fam,Lvl,0,1,3,2006,42.037159122449,-93.6122051632653,1
213000,641,126,126,2.0,2,1,6,Gd,Gd,NridgHt,RL,TwnhsE,Lvl,1,1,8,2009,42.0592377786976,-93.6493926981431,2
262000,1158,151,151,3.0,2,1,8,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,7,2006,42.047999,-93.650289,2
217500,1028,115,114,2.0,1,1,8,Gd,Gd,Veenker,RL,TwnhsE,Lvl,1,1,8,2008,42.0448252315389,-93.6481061129878,2
148000,341,100,51,2.0,2,1,6,TA,TA,Edwards,RM,TwnhsE,Lvl,0,1,6,2008,42.0189623985668,-93.6701125847686,1
113000,569,82,82,1.0,2,1,5,Gd,TA,BrkSide,RM,1Fam,Lvl,0,1,7,2007,42.0323832020202,-93.6236834040404,1
160500,669,130,64,2.0,3,1,6,TA,TA,Edwards,RL,1Fam,Lvl,1,1,2,2008,42.0187949767442,-93.6751379069767,2
145000,799,87,87,2.0,2,1,5,TA,Gd,NAmes,RL,Duplex,Lvl,0,1,11,2009,42.0379747345703,-93.6039140588975,1
245500,1390,120,117,2.0,1,1,8,Gd,Ex,Veenker,RL,TwnhsE,Lvl,1,1,12,2008,42.044748171888,-93.6479185496482,2
133500,1027,93,93,1.0,2,1,5,TA,TA,NAmes,RL,1Fam,Lvl,1,1,7,2006,42.038378,-93.6127498039216,1
198000,1922,158,158,2.0,3,1,7,TA,TA,Crawfor,RL,1Fam,Bnk,1,1,2,2007,42.0111953778983,-93.643599394251,2
205000,1273,143,143,3.0,3,1,7,Gd,Gd,CollgCr,RL,1Fam,Lvl,1,1,1,2006,42.0169049714985,-93.6885695227144,2
285000,1034,207,129,3.0,4,1,8,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,6,2010,42.0457739546385,-93.6523237974775,3
175000,934,119,74,2.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,1,1,6,2007,42.0488800467289,-93.6170017920188,2
160000,766,175,0,2.0,4,2,6,TA,TA,SawyerW,RL,Duplex,Lvl,1,1,5,2009,42.0356638090966,-93.683921687578,2
272000,1136,267,124,2.0,4,1,6,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,7,2008,42.0545474,-93.6353066666667,3
115000,836,130,61,0.0,4,2,5,Fa,TA,IDOTRR,C (all),2fmCon,Lvl,0,0,10,2006,42.0191004073524,-93.6147698852551,2
134000,557,105,56,1.0,2,1,6,TA,TA,BrkSide,RM,1Fam,Lvl,0,1,4,2010,42.0336319183673,-93.6245344897959,1
78000,628,84,45,1.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,0,0,9,2008,42.0302539126524,-93.6142600193453,1
111500,523,78,78,1.0,2,1,5,TA,TA,OldTown,RM,1Fam,Lvl,0,1,7,2006,42.0311924831506,-93.6158111831056,1
142900,967,221,122,2.0,3,1,4,TA,Gd,OldTown,RL,1Fam,Lvl,1,1,6,2009,42.0347654285714,-93.6140852040816,2
125500,505,107,74,1.0,3,1,4,TA,Gd,IDOTRR,RM,1Fam,Lvl,0,1,5,2010,42.0226691058526,-93.6253259318155,1
125500,613,80,80,1.0,2,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,12,2007,42.0348744444444,-93.6036675555556,1
423000,1941,195,193,3.0,1,1,8,Gd,Ex,Somerst,RL,1Fam,Lvl,1,1,1,2006,,,2
119900,1499,109,109,1.0,2,1,5,TA,TA,Edwards,RL,1Fam,HLS,0,1,12,2006,42.0210151632653,-93.6714890816327,1
247000,932,136,136,2.0,3,1,8,Gd,Gd,Somerst,RL,1Fam,Lvl,1,1,8,2008,42.0531903443853,-93.6437647689972,2
226500,923,151,149,2.0,3,1,7,Gd,Gd,SawyerW,RL,1Fam,Lvl,1,1,4,2008,42.0309301369015,-93.6819971630896,3
260400,984,160,160,2.0,3,1,7,Gd,Gd,NoRidge,RL,1Fam,Lvl,1,1,3,2010,42.0517193514484,-93.6542803249084,2
135000,650,115,85,1.0,3,1,5,TA,TA,Sawyer,RL,1Fam,Lvl,1,1,6,2006,42.0345884848485,-93.6699418989899,1
175900,665,149,71,2.0,3,1,6,Gd,Gd,SawyerW,RL,1Fam,Lvl,0,1,7,2006,42.0347122333451,-93.687856790651,3
82500,1106,131,129,2.0,3,1,7,TA,TA,NWAmes,RL,1Fam,Lvl,1,1,4,2009,42.0551294551915,-93.6350806926721,2
79500,845,87,69,1.0,2,1,5,TA,TA,BrkSide,RM,1Fam,Lvl,0,1,8,2008,42.0334838163265,-93.6257706734694,1
207500,470,194,111,2.0,3,1,7,Gd,Gd,StoneBr,RL,TwnhsE,Lvl,1,1,9,2007,42.059300612982,-93.6331290036267,2
115000,805,83,81,1.0,3,1,5,TA,TA,Sawyer,RL,1Fam,Lvl,0,1,1,2007,42.0310846791027,-93.6758804584247,1
249700,1031,154,154,3.0,3,1,8,Gd,Gd,Somerst,FV,1Fam,Lvl,0,1,7,2007,42.0523029925761,-93.6436569735223,2
164000,1212,93,93,2.0,1,1,5,TA,TA,ClearCr,RL,1Fam,Low,1,1,4,2006,42.0321492314722,-93.6671789198069,1
220000,3077,231,148,2.0,5,1,6,TA,TA,OldTown,RM,1Fam,Lvl,1,1,10,2006,42.0269546615566,-93.6228647231364,2
135000,687,102,102,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,7,2008,42.0424793766852,-93.6169772826296,1
133700,702,97,97,1.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,7,2006,42.036146841115,-93.6067183929868,1
112500,1466,86,86,1.0,2,1,5,TA,TA,OldTown,RL,1Fam,Lvl,0,1,6,2007,42.0345628910309,-93.6190795666278,1
150000,669,148,71,2.0,3,1,5,TA,TA,NAmes,RL,1Fam,Lvl,0,1,3,2008,42.0347389591837,-93.6077650612245,2
