"SalePrice","LotArea","LivArea","BsmtArea","GarageCars","Bedroom","Kitchen","OverallQual","ExterQual","KitchenQual","Neighborhood","ZoneClass","BldgType","LandContour","Fireplace","CentralAir","MoSold","YrSold","TotalBath"
127000,700,86,86,2,3,1,5,"TA","TA","CollgCr","RL","1Fam","Lvl",0,1,6,2010,1
318000,969,183,183,3,3,1,8,"Gd","Gd","CollgCr","RL","1Fam","Lvl",1,1,5,2010,3
240000,872,194,97,2,4,1,7,"Gd","Gd","CollgCr","RL","1Fam","Lvl",1,1,4,2010,3
143750,409,75,75,2,1,1,6,"Gd","Gd","CollgCr","RM","TwnhsE","Lvl",0,1,4,2010,1
84900,818,54,0,1,2,1,3,"TA","TA","Edwards","RL","1Fam","Lvl",0,0,4,2010,1
155891,818,97,32,1,3,1,5,"TA","TA","Edwards","RL","1Fam","Lvl",0,1,1,2010,1
144000,936,108,108,1,3,1,5,"TA","TA","Edwards","RL","1Fam","Low",0,1,6,2010,1
64000,1098,108,65,2,2,1,4,"TA","Fa","Edwards","RL","1Fam","Lvl",0,0,6,2010,1
125200,581,97,97,1,3,1,6,"TA","TA","Edwards","RL","1Fam","Lvl",1,1,6,2010,1
90000,592,86,86,0,3,1,4,"TA","TA","Edwards","RL","1Fam","HLS",0,1,5,2010,1
104000,452,118,108,1,2,1,5,"TA","Fa","SWISU","RL","1Fam","Bnk",1,0,5,2010,2
126000,732,75,75,2,2,1,6,"TA","TA","SWISU","RL","1Fam","Lvl",1,1,3,2010,1
160000,667,248,0,0,6,2,4,"TA","TA","SWISU","RH","Duplex","Lvl",0,1,2,2010,3
1e+05,915,151,86,0,3,1,5,"TA","TA","SWISU","RL","1Fam","Lvl",1,1,5,2010,1
257500,969,194,140,1,4,1,7,"Gd","TA","Crawfor","RL","1Fam","Lvl",1,1,7,2010,2
215000,1453,205,97,2,5,2,5,"TA","TA","Crawfor","RL","Duplex","Lvl",0,1,3,2010,3
203135,1830,151,43,2,3,1,7,"TA","Gd","Crawfor","RL","1Fam","Lvl",0,1,6,2010,3
185000,366,97,86,2,1,1,8,"Gd","Gd","Blueste","RM","TwnhsE","HLS",1,1,4,2010,1
162500,366,108,108,2,2,1,8,"Gd","Gd","Blueste","RM","TwnhsE","HLS",1,1,3,2010,2
82000,753,54,43,1,1,1,2,"TA","TA","IDOTRR","RM","1Fam","Lvl",0,1,4,2010,1
110000,850,108,54,1,2,1,6,"TA","TA","IDOTRR","RM","1Fam","HLS",0,1,4,2010,1
50138,807,86,75,1,3,1,4,"Fa","TA","IDOTRR","C (all)","1Fam","Lvl",0,1,6,2010,1
246000,355,151,151,2,2,1,8,"Gd","Gd","Crawfor","RM","TwnhsE","HLS",1,1,5,2010,2
254900,1023,183,97,3,3,1,8,"Gd","Gd","Mitchel","RL","1Fam","Lvl",1,1,5,2010,3
190000,893,118,118,2,3,1,6,"TA","Gd","Mitchel","RL","1Fam","Lvl",1,1,5,2010,2
170000,1184,194,183,2,5,2,6,"TA","TA","Mitchel","RL","Duplex","Lvl",0,1,3,2010,3
220000,1109,129,129,3,3,1,7,"Gd","Gd","Timber","RL","1Fam","Lvl",1,1,5,2010,2
179781,915,108,108,2,2,1,7,"Gd","Gd","Timber","RL","1Fam","Lvl",0,1,1,2010,2
174000,915,129,32,2,3,1,5,"TA","TA","Timber","RL","1Fam","Lvl",0,1,4,2010,3
169000,1421,118,97,2,2,1,5,"TA","TA","Mitchel","RL","1Fam","Bnk",1,1,6,2010,1
173500,936,129,129,2,3,1,5,"TA","Gd","Mitchel","RL","1Fam","Lvl",0,1,3,2010,2
166500,1098,129,129,2,3,1,5,"TA","TA","Mitchel","RL","1Fam","Lvl",1,1,6,2010,2
119500,226,86,86,1,2,1,5,"TA","TA","MeadowV","RM","Twnhs","Low",1,1,5,2010,1
76000,140,97,54,0,3,1,4,"TA","TA","MeadowV","RM","Twnhs","Lvl",0,1,3,2010,2
88250,172,97,54,0,3,1,4,"TA","TA","MeadowV","RM","TwnhsE","Lvl",0,1,6,2010,2
85500,172,97,54,1,3,1,4,"TA","TA","MeadowV","RM","TwnhsE","Lvl",0,1,6,2010,2
130000,646,86,75,1,3,1,5,"TA","TA","Mitchel","RL","1Fam","Lvl",0,1,6,2010,1
149900,1195,75,75,2,2,1,5,"TA","Gd","Mitchel","RL","1Fam","Lvl",0,1,4,2010,1
159000,710,226,108,2,4,2,5,"TA","TA","Mitchel","RL","Duplex","Lvl",0,1,2,2010,6
136000,969,118,54,2,3,1,5,"TA","TA","Mitchel","RL","1Fam","Lvl",0,1,3,2010,2
161000,980,140,75,1,5,1,5,"TA","TA","Mitchel","RL","1Fam","Lvl",0,1,4,2010,2
285000,915,172,151,2,3,1,8,"Gd","Gd","Mitchel","RL","1Fam","Lvl",1,1,2,2010,3
231000,1206,172,108,2,3,1,6,"Gd","Gd","Mitchel","RL","1Fam","Lvl",1,1,3,2010,3
124500,1206,86,86,1,2,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,10,2009,1
157000,947,129,129,2,4,1,6,"TA","TA","NAmes","RL","1Fam","Lvl",1,1,6,2009,2
189500,947,151,86,2,3,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
270000,1098,215,97,3,4,1,8,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,8,2009,3
189000,775,151,32,2,3,1,7,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,6,2009,3
375000,678,237,205,2,1,1,8,"Gd","Gd","StoneBr","RL","TwnhsE","Lvl",1,1,11,2009,2
240000,689,140,129,2,2,1,8,"TA","TA","StoneBr","RL","1Fam","Lvl",0,1,7,2009,2
239500,743,161,151,2,2,1,8,"Gd","Gd","StoneBr","RL","TwnhsE","Lvl",0,1,9,2009,2
177500,829,129,32,2,3,1,7,"Gd","TA","Gilbert","RL","1Fam","Lvl",1,1,2,2009,3
191000,700,151,86,2,3,1,6,"Gd","TA","Gilbert","RL","1Fam","Lvl",1,1,10,2009,3
181316,818,140,65,2,3,1,6,"TA","Gd","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
166000,678,108,108,2,3,1,6,"TA","Gd","Gilbert","RL","1Fam","Lvl",1,1,11,2009,2
185000,1109,183,108,2,3,1,5,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
154000,1227,194,75,2,4,1,7,"TA","Gd","NWAmes","RL","1Fam","Lvl",1,1,5,2009,3
2e+05,1012,151,129,2,3,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,8,2009,2
249000,1152,248,97,2,4,1,7,"TA","Gd","NWAmes","RL","1Fam","Lvl",1,1,8,2009,3
184000,1033,161,108,2,3,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,5,2009,2
240900,646,172,86,2,3,1,7,"Gd","Ex","Somerst","FV","1Fam","Lvl",1,1,6,2009,3
220000,700,172,97,2,3,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,3,2009,3
235000,786,172,86,2,3,1,8,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,10,2009,3
213000,872,151,151,2,3,1,5,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,6,2009,2
167900,947,108,108,2,3,1,6,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,4,2009,2
158000,1023,108,108,2,3,1,7,"TA","TA","NWAmes","RL","1Fam","Lvl",1,1,8,2009,2
128000,732,108,108,2,2,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,3,2009,2
143000,786,97,97,1,3,1,5,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,7,2009,2
76500,657,75,75,2,3,1,4,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,9,2009,1
130000,840,75,65,2,3,1,4,"TA","TA","NAmes","RL","1Fam","Lvl",0,1,7,2009,1
111000,151,97,43,1,2,1,6,"TA","TA","BrDale","RM","Twnhs","Lvl",0,1,7,2009,2
97000,151,97,43,1,2,1,6,"TA","TA","BrDale","RM","Twnhs","Lvl",0,1,7,2009,2
146000,215,140,75,2,3,1,6,"TA","TA","NPkVill","RL","TwnhsE","Lvl",1,1,9,2009,3
123000,215,97,97,2,2,1,7,"TA","TA","NPkVill","RL","Twnhs","Lvl",1,1,8,2009,2
137900,215,140,75,1,3,1,6,"TA","TA","NPkVill","RL","Twnhs","Lvl",1,1,5,2009,3
147000,215,140,75,2,3,1,6,"TA","TA","NPkVill","RL","TwnhsE","Lvl",1,1,7,2009,3
138000,215,140,75,2,3,1,6,"Gd","TA","NPkVill","RL","TwnhsE","Lvl",1,1,4,2009,3
128500,194,75,75,1,2,1,7,"TA","TA","NPkVill","RL","TwnhsE","Lvl",0,1,10,2009,1
148800,990,108,75,2,3,1,5,"Gd","TA","NAmes","RL","1Fam","Lvl",1,1,7,2009,1
462000,1324,258,161,3,4,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,6,2009,4
398800,1152,248,129,3,3,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,7,2009,3
404000,1152,183,183,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,5,2009,2
610000,1270,248,248,3,2,1,10,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,3,2009,3
360000,1076,161,161,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,7,2009,2
296000,1572,161,161,3,3,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,4,2009,2
409900,2164,237,140,3,5,1,8,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,6,2009,3
335000,958,161,161,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,6,2009,2
3e+05,1012,140,140,3,2,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,2,2009,2
324000,1259,172,161,3,3,1,9,"Ex","Ex","NridgHt","RL","1Fam","Lvl",1,1,3,2009,2
269500,1195,161,161,2,3,1,7,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,6,2009,2
445000,1421,226,226,3,3,1,9,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,7,2009,2
290000,1227,226,97,3,4,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,6,2009,4
255900,893,151,151,3,3,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,7,2009,2
213000,646,129,129,2,2,1,6,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl",1,1,8,2009,2
184500,474,118,118,2,1,1,6,"Gd","Gd","NridgHt","RL","Twnhs","Lvl",1,1,3,2009,2
212500,958,129,129,2,2,1,7,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl",1,1,5,2009,2
552000,1378,237,237,3,2,1,10,"Ex","Ex","NridgHt","RL","1Fam","HLS",1,1,2,2009,3
382500,1421,205,205,3,3,1,8,"Gd","Ex","NridgHt","RL","1Fam","Lvl",1,1,7,2009,3
320000,689,172,172,2,2,1,9,"Ex","Ex","NridgHt","RL","TwnhsE","Lvl",1,1,5,2009,2
248500,603,140,140,2,2,1,9,"Ex","Ex","NridgHt","RL","TwnhsE","Lvl",1,1,4,2009,2
286500,1561,161,161,3,3,1,8,"Gd","Gd","NridgHt","RL","1Fam","Lvl",1,1,9,2009,2
173000,323,129,129,2,2,1,7,"Gd","Gd","NridgHt","RL","TwnhsE","Lvl",1,1,11,2009,2
184000,1012,140,65,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,6,2009,3
167800,829,140,65,2,3,1,6,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
180000,291,108,108,2,2,1,7,"Gd","Gd","Blmngtn","RL","TwnhsE","Lvl",1,1,8,2009,2
170000,872,129,32,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,8,2009,3
189500,743,151,86,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,9,2009,3
195500,936,151,75,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
192000,829,140,97,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,6,2009,3
178000,764,129,65,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,5,2009,3
257500,1195,183,86,3,4,1,8,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,7,2009,3
167000,904,129,32,2,3,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",0,1,5,2009,3
190000,786,140,75,2,3,1,6,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,6,2009,3
156000,721,129,32,2,3,1,7,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,3,2009,3
245000,1475,215,108,3,4,1,7,"Gd","Gd","Gilbert","RL","1Fam","Lvl",1,1,5,2009,3
168000,732,129,32,2,3,1,7,"TA","TA","Gilbert","RL","1Fam","Lvl",1,1,6,2009,3
327000,1184,248,140,3,4,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,9,2009,3
315000,1001,194,183,3,3,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,6,2009,2
260000,840,194,97,2,3,1,7,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,11,2009,3
263550,1087,205,108,2,3,1,8,"Gd","Gd","NoRidge","RL","1Fam","Lvl",1,1,10,2009,3
275000,1044,161,161,3,3,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl",0,1,9,2009,2
257500,947,151,151,3,3,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl",1,1,9,2009,3
275500,936,161,161,3,3,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl",1,1,3,2009,2
245000,850,129,129,2,3,1,8,"Gd","Gd","Somerst","RL","1Fam","Lvl",1,1,9,2009,2
468000,1033,226,226,3,2,1,9,"Ex","Ex","Somerst","RL","1Fam","Lvl",1,1,10,2009,2
225000,743,129,129,2,3,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl",0,1,10,2009,2
229800,807,129,129,2,3,1,7,"Gd","Gd","Somerst","FV","1Fam","Lvl",0,1,5,2009,2
250000,1173,140,140,3,3,1,9,"Gd","Gd","Somerst","FV","1Fam","Lvl",1,1,5,2009,2
